product_id,section,product_name,status,provider,score,matched_name,source_page,image_url,reason,checked_at
nonfood-0026,NONFood,АП Стакан двошаровий 180 мл КРАФТ (25 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:17+00:00
nonfood-0027,NONFood,АП Стакан двошаровий 270 мл КРАФТ (25 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:20+00:00
nonfood-0028,NONFood,АП Стакан двошаровий 340 мл КРАФТ (25 шт/пак),no_match,,0.0,,,,source domain is not suitable,2026-07-19T17:51:24+00:00
nonfood-0029,NONFood,АП Стакан одношаровий 180 мл (100 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:27+00:00
nonfood-0030,NONFood,ЛФ Стакан гофрований білий 110 мл (30 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:31+00:00
nonfood-0031,NONFood,ЛФ Стакан гофрований білий 250 мл (30 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:34+00:00
nonfood-0032,NONFood,ЛФ Стакан гофрований білий 350 мл (30 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:37+00:00
nonfood-0033,NONFood,ЛФ КРИШКА пластикова біла d 90 (100 шт/пак),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:51:41+00:00
nonfood-0034,NONFood,ЛФ КРИШКА пластикова чорна d 90 (50 шт/пак),no_match,,0.0,,,,source domain is not suitable,2026-07-19T17:51:46+00:00
nonfood-0035,NONFood,ЛФ Стакан двошаровий білий 110 мл (30 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:49+00:00
nonfood-0036,NONFood,ЛФ Стакан двошаровий білий 250 мл (30 шт/пак),no_match,,0.0,,,,source domain is not suitable,2026-07-19T17:51:52+00:00
nonfood-0037,NONFood,ЛФ Стакан двошаровий білий 350 мл (30 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:56+00:00
nonfood-0038,NONFood,ЛФ Стакан ЄВРО двошаровий білий 350 мл (25 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:51:59+00:00
nonfood-0039,NONFood,ЛФ Стакан одношаровий білий 175 мл d 70 (50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:52:03+00:00
nonfood-0040,NONFood,ЛФ Стакан одношаровий білий 270 мл d 79 (50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:52:08+00:00
nonfood-0041,NONFood,ЛФ Стакан одношаровий білий 340 мл d 79 (50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T17:52:13+00:00
nonfood-0042,NONFood,АП Тарілка з картону 14 × 20(100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:52:17+00:00
nonfood-0043,NONFood,АП Тарілка з картону 14 × 25(100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:52:20+00:00
nonfood-0044,NONFood,SP Тарілка крафт зібрана 200 × 120 × 45 мм без ламінації (100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:52:24+00:00
nonfood-0045,NONFood,SP Тарілка крафт зібрана 270 × 110 × 47 мм без ламінації (100 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:52:27+00:00
nonfood-0046,NONFood,SP Тарілка крафт Хот-Дог 200 × 40 × 40 мм без ламінації (50 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:52:31+00:00
nonfood-0047,NONFood,SP Тарілка глибока ламінована d 155 h 55 біла (25 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:53:00+00:00
nonfood-0048,NONFood,SP Тарілка глибока ламінована d 200 h 35 біла (25 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:53:41+00:00
nonfood-0049,NONFood,SP Тарілка паперова рифлена ламінована біла d 180 (50 шт),no_match,,0.0,,,,source domain is not suitable,2026-07-19T17:54:21+00:00
nonfood-0050,NONFood,SP Тарілка паперова рифлена ламінована біла d 200 (50 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T17:55:02+00:00
